iter	Passed	Remaining
0	1	142
1	2	134
2	3	123
3	4	119
4	6	114
5	7	112
6	8	111
7	9	109
8	10	108
9	12	108
10	13	107
11	14	106
12	15	106
13	17	104
14	18	103
15	19	101
16	20	99
17	21	99
18	23	98
19	24	97
20	25	96
21	26	95
22	28	93
23	29	93
24	30	92
25	32	91
26	33	90
27	34	88
28	35	87
29	36	86
30	38	84
31	39	84
32	40	82
33	41	81
34	43	80
35	44	78
36	45	77
37	46	76
38	48	75
39	49	74
40	50	72
41	51	71
42	53	70
43	54	69
44	55	67
45	56	66
46	57	65
47	59	64
48	60	62
49	61	61
50	62	60
51	64	59
52	65	57
53	66	56
54	67	55
55	68	54
56	70	53
57	71	51
58	72	50
59	73	49
60	75	47
61	76	46
62	77	45
63	78	44
64	79	42
65	80	41
66	82	40
67	82	38
68	84	37
69	85	36
70	86	35
71	87	34
72	88	32
73	90	31
74	91	30
75	92	29
76	93	28
77	95	26
78	96	25
79	97	24
80	99	23
81	100	22
82	101	20
83	102	19
84	103	18
85	104	17
86	105	15
87	107	14
88	108	13
89	109	12
90	110	10
91	111	9
92	112	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	118	1
99	119	0
